Position,Points1,Points2,Points3,Points4,Points5,Points6,Points7,Points8,Points9,Points10,Points11,Points12,Points13,Points14,Points15,Points16,Points17,Points18,Points19,Points20,Points21,Points22,Points23,Points24,Points25,Points26,Points27,Points28,Points29,Points30,Points31,Points32,Points33,Points34,Points35,Points36,Points37,Points38
1,3,6,9,12,15,18,19,20,23,26,29,32,35,38,41,42,45,48,51,54,54,57,60,61,62,65,66,69,71,74,77,80,83,86,89,92,95,98
2,3,6,9,12,15,16,19,20,23,26,27,30,33,36,39,41,44,44,45,47,50,53,56,56,59,62,65,68,70,73,76,79,82,85,88,91,94,97
3,3,6,9,12,13,16,17,20,21,24,27,28,30,31,33,36,39,42,44,45,48,48,51,54,57,60,60,60,61,61,64,64,67,70,70,70,71,72
4,3,6,9,10,12,13,15,18,21,22,24,27,28,30,31,34,37,37,40,43,44,47,47,47,50,51,53,56,59,60,60,63,66,66,67,68,70,71
5,3,6,7,9,10,12,15,18,21,21,23,24,27,30,31,34,34,37,38,38,41,41,44,47,48,50,53,56,58,60,60,63,63,66,66,66,67,70
6,3,6,7,7,9,12,13,16,17,20,20,20,22,22,23,26,26,29,32,35,38,41,44,45,47,50,52,55,57,58,58,61,61,64,64,65,66,66
7,3,4,6,6,9,10,13,15,16,19,20,20,21,22,23,24,25,27,28,29,31,32,33,35,38,39,40,40,43,44,47,47,50,50,51,54,57,57
8,3,3,5,6,9,10,12,13,15,17,19,20,20,21,23,23,24,26,27,28,29,31,32,33,34,37,40,40,43,43,44,44,47,47,50,51,53,54
9,1,3,3,6,8,9,12,13,15,15,18,19,20,20,22,22,24,25,27,28,29,31,31,33,33,33,36,36,39,39,42,44,47,47,49,50,51,52
10,1,3,3,6,6,9,10,12,14,15,16,17,18,20,21,22,24,25,27,27,28,30,31,33,33,33,34,36,37,38,41,43,46,46,48,50,50,52
11,1,3,3,5,6,7,9,12,12,14,15,16,16,18,20,21,23,24,26,27,27,29,30,32,32,33,33,35,35,37,40,42,42,42,43,46,49,50
12,1,1,3,4,6,6,7,8,11,13,14,14,15,16,19,21,22,24,26,26,27,27,30,31,32,32,32,34,34,37,38,38,39,41,42,43,46,49
13,0,1,3,4,5,5,7,8,8,8,11,12,12,15,18,21,21,21,22,25,26,26,26,26,27,27,30,31,33,34,35,36,38,39,41,42,45,45
14,0,1,2,4,5,5,7,7,7,8,8,9,12,12,13,14,16,18,19,19,22,22,22,24,26,27,30,30,31,33,33,35,36,39,41,42,42,45
15,0,1,2,3,4,5,5,7,7,8,8,9,10,12,12,13,15,17,17,18,18,21,22,23,24,27,28,30,30,33,33,34,35,38,40,40,40,40
16,0,1,1,2,3,4,5,5,6,7,7,8,9,11,11,12,14,15,15,18,18,19,22,23,24,25,27,27,30,30,31,33,34,37,37,38,38,39
17,0,0,1,2,2,4,5,5,5,5,6,8,9,10,10,12,12,14,15,15,18,19,21,23,24,25,25,27,27,30,31,33,33,33,34,35,36,36
18,0,0,1,1,2,2,2,3,5,5,6,8,8,9,9,10,12,12,12,15,16,18,19,19,22,24,24,25,25,28,30,31,31,31,31,31,31,34
19,0,0,1,1,1,2,2,2,3,3,5,7,8,9,9,9,10,10,11,14,14,14,14,17,17,17,17,17,17,17,17,17,17,20,23,26,26,26
20,0,0,0,0,1,2,2,2,2,3,5,5,8,8,9,9,9,10,10,10,10,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,15,16
