Position,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,Team14,Team15,Team16,Team17,Team18,Team19,Team20,Team21,Team22,Team23,Team24,Team25,Team26,Team27,Team28,Team29,Team30,Team31,Team32,Team33,Team34,Team35,Team36,Team37,Team38
1,Liverpool FC,Manchester City,Liverpool FC,Liverpool FC,Chelsea FC,Liverpool FC,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City
2,Chelsea FC,Liverpool FC,Tottenham Hotspur,Chelsea FC,Liverpool FC,Manchester City,Liverpool FC,Chelsea FC,Liverpool FC,Liverpool FC,Chelsea FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Manchester City,Manchester City,Manchester City,Tottenham Hotspur,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC,Liverpool FC
3,AFC Bournemouth,Chelsea FC,Chelsea FC,Watford FC,Manchester City,Chelsea FC,Chelsea FC,Liverpool FC,Chelsea FC,Chelsea FC,Liverpool FC,Chelsea FC,Tottenham Hotspur,Chelsea FC,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Manchester City,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Chelsea FC,Chelsea FC
4,Crystal Palace,Watford FC,Watford FC,Manchester City,Watford FC,Watford FC,Tottenham Hotspur,Arsenal FC,Arsenal FC,Arsenal FC,Tottenham Hotspur,Tottenham Hotspur,Chelsea FC,Arsenal FC,Chelsea FC,Chelsea FC,Chelsea FC,Chelsea FC,Chelsea FC,Chelsea FC,Chelsea FC,Chelsea FC,Chelsea FC,Arsenal FC,Chelsea FC,Manchester United,Chelsea FC,Arsenal FC,Chelsea FC,Arsenal FC,Arsenal FC,Arsenal FC,Chelsea FC,Arsenal FC,Chelsea FC,Chelsea FC,Tottenham Hotspur,Tottenham Hotspur
5,Manchester City,Tottenham Hotspur,Manchester City,Tottenham Hotspur,AFC Bournemouth,Tottenham Hotspur,Arsenal FC,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Arsenal FC,Arsenal FC,Arsenal FC,Tottenham Hotspur,Arsenal FC,Arsenal FC,Arsenal FC,Arsenal FC,Arsenal FC,Arsenal FC,Arsenal FC,Arsenal FC,Arsenal FC,Chelsea FC,Manchester United,Arsenal FC,Arsenal FC,Chelsea FC,Manchester United,Chelsea FC,Chelsea FC,Chelsea FC,Arsenal FC,Chelsea FC,Arsenal FC,Arsenal FC,Arsenal FC,Arsenal FC
6,Watford FC,AFC Bournemouth,AFC Bournemouth,AFC Bournemouth,Tottenham Hotspur,Arsenal FC,Watford FC,AFC Bournemouth,AFC Bournemouth,AFC Bournemouth,AFC Bournemouth,AFC Bournemouth,Everton FC,Everton FC,Everton FC,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Arsenal FC,Chelsea FC,Manchester United,Manchester United,Arsenal FC,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United
7,Manchester United,Everton FC,Leicester City,Everton FC,Arsenal FC,Manchester United,AFC Bournemouth,Wolverhampton Wanderers,Watford FC,Watford FC,Manchester United,Watford FC,Manchester United,Manchester United,AFC Bournemouth,Everton FC,Wolverhampton Wanderers,Watford FC,Leicester City,Wolverhampton Wanderers,Leicester City,Watford FC,Watford FC,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Watford FC,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers
8,Tottenham Hotspur,Leicester City,Everton FC,Leicester City,Manchester United,AFC Bournemouth,Leicester City,Manchester United,Everton FC,Manchester United,Watford FC,Manchester United,AFC Bournemouth,Leicester City,Manchester United,AFC Bournemouth,Everton FC,AFC Bournemouth,Everton FC,Leicester City,Watford FC,Leicester City,Wolverhampton Wanderers,Everton FC,Watford FC,Watford FC,Wolverhampton Wanderers,Watford FC,Watford FC,Watford FC,Watford FC,Leicester City,Leicester City,Leicester City,Watford FC,Leicester City,Everton FC,Everton FC
9,Everton FC,Manchester United,Arsenal FC,Arsenal FC,Wolverhampton Wanderers,Leicester City,Wolverhampton Wanderers,Watford FC,Wolverhampton Wanderers,Everton FC,Everton FC,Everton FC,Watford FC,AFC Bournemouth,Leicester City,Leicester City,West Ham United,Leicester City,West Ham United,Watford FC,Wolverhampton Wanderers,West Ham United,Leicester City,Watford FC,Everton FC,Everton FC,West Ham United,Everton FC,West Ham United,West Ham United,West Ham United,Watford FC,Watford FC,Watford FC,Everton FC,Everton FC,Leicester City,Leicester City
10,Wolverhampton Wanderers,Crystal Palace,Crystal Palace,Manchester United,Everton FC,Wolverhampton Wanderers,Manchester United,Leicester City,Manchester United,Wolverhampton Wanderers,Leicester City,Leicester City,Leicester City,Watford FC,Brighton & Hove Albion,Wolverhampton Wanderers,Watford FC,Wolverhampton Wanderers,Watford FC,Everton FC,West Ham United,Everton FC,West Ham United,AFC Bournemouth,AFC Bournemouth,West Ham United,AFC Bournemouth,West Ham United,Everton FC,Leicester City,Leicester City,Everton FC,Everton FC,Everton FC,Leicester City,Watford FC,Watford FC,West Ham United
